form,office,min_time,max_time
I-485,WPB,10,17.5
I-485,WIC,10.5,22.5
I-485,YAK,10.5,22.5
I-751,CSC,14.5,19
I-751,NSC,15.5,23
I-751,SSC,16,19
I-751,ESC,15,19
I-751,FOD,23,43
I-817,NBC,10.5,20.5
I-817,SSC,10.5,20.5
I-824,CSC,4.5,11.5
I-824,NBC,4.5,11.5
I-824,NSC,4.5,11.5
I-824,SSC,4.5,11.5
I-824,ESC,4.5,11.5
I-90,YSC,3.5,11.5
I-914,ESC,16,27
N-400,AGA,10.5,20
N-400,ALB,10.5,20
N-400,ABQ,5.5,17
N-400,ANC,10.5,20
N-400,ATL,13,23
N-400,BAL,12,19.5
N-400,BOI,10.5,20
N-400,BOS,5.5,13.5
N-400,BNY,15,20.5
N-400,BUF,6,17
N-400,CHL,4,15.5
N-400,CHA,10.5,20
N-400,CLT,9.5,12.5
N-400,CHI,10,16
N-400,CHR,10.5,20
N-400,CIN,5,10
N-400,CLE,4,8.5
N-400,CLM,5.5,17
N-400,DAL,16,21
N-400,DEN,10,19.5
N-400,DSM,11.5,14
N-400,DET,7,15.5
N-400,ELP,19,33
N-400,OFM,15.5,21.5
N-400,FSA,10.5,20
N-400,FRE,7,12
N-400,GRR,4,11
N-400,HLG,13.5,22
N-400,HAR,10,18.5
N-400,HEL,10.5,20
N-400,HIA,6.5,12
N-400,HHW,11.5,18
N-400,HOU,16.5,22
N-400,IMP,10.5,20
N-400,INP,5.5,12.5
N-400,JAC,5.5,15.5
N-400,KAN,6,20.5
N-400,KND,6.5,14
N-400,LVG,15.5,18
N-400,LAW,6.5,14
N-400,LNY,7.5,19.5
N-400,LOS,9.5,15.5
N-400,LAC,10,19
N-400,LOU,4.5,16
N-400,MAN,10.5,20
N-400,MEM,10,22
N-400,MIA,16,24
N-400,MIL,8,19.5
N-400,SPM,16,23
N-400,MGA,11.5,20
N-400,MTL,6.5,17
N-400,NTN,12.5,17.5
N-400,NEW,8.5,16
N-400,NOL,13.5,22
N-400,NYC,14.5,28
N-400,NOR,9,20.5
N-400,OKL,13.5,23
N-400,OKC,7,18
N-400,OMA,8,16.5
N-400,ORL,10,25
N-400,PHI,9.5,21.5
N-400,PHO,17,18.5
N-400,PIT,5.5,16.5
N-400,POM,10.5,20
N-400,POO,7,9.5
N-400,PRO,5.5,10.5
N-400,QNS,10.5,19.5
N-400,RAL,4,16.5
N-400,REN,10.5,20
N-400,SAC,9.5,15.5
N-400,STA,10.5,20
N-400,STL,8.5,13.5
N-400,SLC,17,21
N-400,SNA,11,15
N-400,SBD,6,12.5
N-400,SND,7,11.5
N-400,SFV,12.5,16.5
N-400,SFR,14.5,16.5
N-400,SNJ,10.5,13
N-400,SAJ,10.5,20
N-400,SAA,11,16.5
N-400,SEA,17.5,21
N-400,SPO,10.5,20
N-400,TAM,4.5,13
N-400,TUC,5.5,17.5
N-400,WAS,10.5,15
N-400,WPB,6.5,22.5
N-400,WIC,10.5,20
N-400,YAK,10.5,20
